,Name,Notes,category
0,Tihota Eau de Parfum,"['vanilla bean', 'musks']","SPICES,MUSK AMBER ANIMALIC"
1,Sola Parfum,"['lavender', 'yuzu', 'lemongrass', 'magnolia', 'geranium', 'jasmine', 'frankincense', 'myrrh']","WHITE FLOWERS,RESINS BALSAMS,CITRUS,FLOWERS"
2,Kagiroi Parfum,"['green yuzu', 'green shikuwasa', 'sansho seed', 'coriander', 'ylang-ylang', 'shiso', 'rosewood', 'vetiver', 'hinoki', 'cypriol', 'patchouli', 'agarwood']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES"
3,Velvet Fantasy Eau de Parfum,"['tangerine', 'pink pepper', 'black coffee', 'leather', 'violet', 'jasmine', 'lily of the valley', 'heliotrope powder', 'vanilla', 'amber', 'sandalwood', 'toffee', 'musk', 'oakmoss']","WOODS MOSSES,WHITE FLOWERS,SPICES,SWEETS GOURMAND,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
4,A Blvd. Called Sunset Eau de Parfum,"['bergamot', 'almond', 'violet', 'jasmine', 'leather', 'sandalwood', 'vanilla', 'tonka']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,SPICES,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
5,Freckled and Beautiful Eau de Parfum,"['orange flower', 'neroli', 'honeysuckle', 'warm milk', 'pastry', 'salicylates', 'sandalwood', 'vanilla bean', 'heliotrope']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,FLOWERS"
6,Exit the King Eau de Parfum,"['timur je', 'soap foam accord (aldehydes & musk)', 'pink pepper', 'jasmine e-pure', 'rose superessence', 'lily-of-the-valley accord', 'patchouli', 'moss absolute', 'sandalwood accord & orcanox']","SPICES,WOODS MOSSES"
7,Eshu Extrait,"['tobacco', 'hay', 'elemi', 'copaiba', 'olibanum', 'nutmeg', 'black pepper', 'castoreum', 'atlas cedar', 'oakmoss', 'cognac', 'ambroxan', 'norlimbanol', 'cinnamon', 'cumin seed', 'ash']","WOODS MOSSES,BEVERAGES,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
8,Saringkarn Extrait,"['saffron', 'champaca', 'fir balsam', 'beeswax', 'amber', 'damask rose', 'rose de mai', 'tobacco', 'leather', 'dark chocolate', 'prune', 'oud', 'musk', 'oakmoss', 'ambrette', 'smoke', 'incense', 'ylang ylang']","WOODS MOSSES,SPICES,SWEETS GOURMAND,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
9,Arsalan Parfum,"['cambodian oud', 'trat oud', 'jasmin sambac', 'champaca', 'olibanum', 'turmeric', 'clove', 'caraway', 'cardamom', 'cinnamon', 'cumin', 'coriander', 'gardenia', 'opoponax', 'saffron', 'sandalwood', 'patchouli', 'musk']","WOODS MOSSES,WHITE FLOWERS,SPICES,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
10,Nocturnal Poetry Parfum,"['violet', 'champaca', 'rosewood', 'beeswax', 'frankincense', 'myrrh', 'coffee bean', 'rose', 'tobacco', 'hay', 'jasmine', 'leather', 'castoreum', 'hyrax', 'civet', 'musk', 'oud', 'turmeric', 'cumin']","WOODS MOSSES,WHITE FLOWERS,SPICES,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
11,Homa Parfum,"['cinnamon', 'ginger', 'black pepper', 'cardamom', 'cassia', 'cumin', 'turmeric', 'caraway', 'nutmeg', 'clove', 'saffron', 'hay', 'kaffir lime', 'oud', 'galbanum', 'ghee butter', 'jasmine', 'champaca', 'tuberose', 'beeswax', 'incense', 'myrrh', 'spikenard', 'costus', 'benzoin', 'ash', 'goat hair tincture', 'oud', 'mushroom', 'civet', 'hyrax']","FRUITS VEGETABLES NUTS,WHITE FLOWERS,SPICES,CITRUS,FLOWERS,NATURAL SYNTHETIC POPULAR WEIRD,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
12,Koala Extrait de Parfum,"['eucalyptus', 'menthol honey gumdrops', 'mimosa', 'black tea', 'geranium', 'incense', 'spices', 'vetiver', 'musk', 'amber', 'oakmoss', 'vanilla', 'sandalwood']","WOODS MOSSES,SPICES,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
13,L'Homme A La Rose Eau de Parfum,"['grapefruit', 'damascene rose', 'amber woods accord', 'sage', 'centifolia rose', 'labdanum']","GREENS HERBS FOUGERES,RESINS BALSAMS,CITRUS,FLOWERS"
14,Rozu Eau de Parfum,"['rose', 'shiso', 'guaiac']","GREENS HERBS FOUGERES,FLOWERS"
15,Champs Lunaires Eau de Toilette,"['tuberose', 'white rose petals', 'pomelo', 'sandalwood', 'coconut milk', 'musk']","WOODS MOSSES,CITRUS,WHITE FLOWERS,MUSK AMBER ANIMALIC"
16,Prends-Moi Eau de Parfum,"['bergamot', 'pink pepper', 'raspberry', 'rose', 'red satin lipstick', 'tuberose', 'cardamom', 'iris', 'cocoa', 'sandalwood', 'amber']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,SPICES,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
17,Eau de Cuisine Eau de Parfum,"['ocean', 'apricot', 'almond', 'fresh dairy', 'aromatic herbs', 'spices']",FRUITS VEGETABLES NUTS
18,Disobbedienza Eau de Parfum,"['black rose', 'ash', 'champagne']","BEVERAGES,NATURAL SYNTHETIC POPULAR WEIRD"
19,Vanille de Tahiti Eau de Parfum,"['absolute of ylang ylang', 'absolute of champaca', 'vanilla of tahiti co2', 'amber', 'sandalwood', 'musk']","WOODS MOSSES,MUSK AMBER ANIMALIC"
20,Gris Charnel Eau de Parfum,"['fig', 'black tea', 'cardamom essence', 'absolute of iris', 'bourbon', 'vetiver', 'sandalwood from india', 'absolute of tonka bean']","WOODS MOSSES,FRUITS VEGETABLES NUTS"
21,Milk Musk Eau de Toilette,"['pear', 'peach', 'musk', 'ambroxan', 'vanilla', 'white cedarwood', 'tonka bean']","SPICES,FRUITS VEGETABLES NUTS,MUSK AMBER ANIMALIC"
22,Blackberry Woods Eau de Parfum,"['blackberry', 'neroli', 'lemon leaves', 'cypress']","GREENS HERBS FOUGERES,WOODS MOSSES,FRUITS VEGETABLES NUTS,CITRUS"
23,Lavande Romaine Eau de Parfum,"['lavender fine', 'bleu cedar', 'cassis bourgeons', 'white musk']",FLOWERS
24,Celestial Eau de Parfum,"['saffron', 'raspberry', 'black pepper', 'olibanum', 'indian rose absolut', 'bulgarian rose', 'pepper', 'cedar', 'paraguan guaiac wood', 'tonka']","SPICES,WOODS MOSSES,FRUITS VEGETABLES NUTS,FLOWERS"
